timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1779136576300,1028,S3-R1 GET /api/public/specialties,200,,Escenario 3 — Estrés (100 usuarios) 3-87,text,true,,638,170,100,130,http://localhost:8080/api/public/specialties,1028,0,0
1779136576309,1019,S3-R1 GET /api/public/specialties,200,,Escenario 3 — Estrés (100 usuarios) 3-41,text,true,,638,170,100,130,http://localhost:8080/api/public/specialties,1019,0,0
1779136576311,1020,S3-R1 GET /api/public/specialties,200,,Escenario 3 — Estrés (100 usuarios) 3-31,text,true,,638,170,100,130,http://localhost:8080/api/public/specialties,1018,0,0
1779136576217,1114,S3-R2 POST /api/auth/login,200,,Escenario 3 — Estrés (100 usuarios) 3-97,text,true,,832,237,100,130,http://localhost:8080/api/auth/login,1112,0,0
1779136576342,992,S3-R1 GET /api/public/specialties,200,,Escenario 3 — Estrés (100 usuarios) 3-53,text,true,,638,170,100,130,http://localhost:8080/api/public/specialties,992,0,0
1779136576376,962,S3-R1 GET /api/public/specialties,200,,Escenario 3 — Estrés (100 usuarios) 3-44,text,true,,638,170,100,130,http://localhost:8080/api/public/specialties,962,0,0
1779136576300,1043,S3-R1 GET /api/public/specialties,200,,Escenario 3 — Estrés (100 usuarios) 3-32,text,true,,638,170,100,130,http://localhost:8080/api/public/specialties,1043,0,0
1779136576393,950,S3-R1 GET /api/public/specialties,200,,Escenario 3 — Estrés (100 usuarios) 3-47,text,true,,637,170,100,130,http://localhost:8080/api/public/specialties,950,0,0
1779136577331,12,S3-R1 GET /api/public/specialties,200,,Escenario 3 — Estrés (100 usuarios) 3-97,text,true,,638,170,100,130,http://localhost:8080/api/public/specialties,12,0,0
1779136576163,1186,S3-R2 POST /api/auth/login,200,,Escenario 3 — Estrés (100 usuarios) 3-63,text,true,,832,237,100,130,http://localhost:8080/api/auth/login,1186,0,0
1779136576397,952,S2-R1 GET /api/public/specialties,200,,Escenario 2 — Carga Alta (30 usuarios) 2-23,text,true,,638,170,30,130,http://localhost:8080/api/public/specialties,952,0,0
1779136576226,1139,S3-R2 POST /api/auth/login,200,,Escenario 3 — Estrés (100 usuarios) 3-3,text,true,,832,237,100,130,http://localhost:8080/api/auth/login,1137,0,0
1779136576414,969,S3-R1 GET /api/public/specialties,200,,Escenario 3 — Estrés (100 usuarios) 3-18,text,true,,638,170,100,130,http://localhost:8080/api/public/specialties,969,0,0
1779136575290,2093,S2-R2 POST /api/auth/login,200,,Escenario 2 — Carga Alta (30 usuarios) 2-6,text,true,,832,237,30,130,http://localhost:8080/api/auth/login,2093,0,0
1779136576226,1198,S3-R2 POST /api/auth/login,200,,Escenario 3 — Estrés (100 usuarios) 3-46,text,true,,832,237,100,130,http://localhost:8080/api/auth/login,1198,0,0
1779136576410,1014,S3-R1 GET /api/public/specialties,200,,Escenario 3 — Estrés (100 usuarios) 3-29,text,true,,637,170,100,130,http://localhost:8080/api/public/specialties,1014,0,0
1779136576275,1160,S2-R2 POST /api/auth/login,200,,Escenario 2 — Carga Alta (30 usuarios) 2-13,text,true,,832,237,30,130,http://localhost:8080/api/auth/login,1160,0,0
1779136576376,1104,S3-R2 POST /api/auth/login,200,,Escenario 3 — Estrés (100 usuarios) 3-37,text,true,,832,237,100,130,http://localhost:8080/api/auth/login,1104,0,0
1779136576430,1051,S3-R1 GET /api/public/specialties,200,,Escenario 3 — Estrés (100 usuarios) 3-55,text,true,,638,170,100,130,http://localhost:8080/api/public/specialties,1050,0,0
1779136576456,1029,S3-R1 GET /api/public/specialties,200,,Escenario 3 — Estrés (100 usuarios) 3-13,text,true,,638,170,100,130,http://localhost:8080/api/public/specialties,1029,0,0
1779136576451,1035,S3-R1 GET /api/public/specialties,200,,Escenario 3 — Estrés (100 usuarios) 3-70,text,true,,638,170,100,130,http://localhost:8080/api/public/specialties,1035,0,0
1779136576411,1078,S3-R2 POST /api/auth/login,200,,Escenario 3 — Estrés (100 usuarios) 3-54,text,true,,832,237,100,130,http://localhost:8080/api/auth/login,1076,0,0
1779136576470,1021,S3-R1 GET /api/public/specialties,200,,Escenario 3 — Estrés (100 usuarios) 3-67,text,true,,638,170,100,130,http://localhost:8080/api/public/specialties,1020,0,0
1779136576413,1078,S3-R2 POST /api/auth/login,200,,Escenario 3 — Estrés (100 usuarios) 3-16,text,true,,832,237,100,130,http://localhost:8080/api/auth/login,1076,0,0
1779136577480,11,S3-R1 GET /api/public/specialties,200,,Escenario 3 — Estrés (100 usuarios) 3-37,text,true,,637,170,100,130,http://localhost:8080/api/public/specialties,11,0,0
1779136577489,6,S3-R1 GET /api/public/specialties,200,,Escenario 3 — Estrés (100 usuarios) 3-54,text,true,,638,170,100,130,http://localhost:8080/api/public/specialties,6,0,0
1779136576474,1021,S2-R1 GET /api/public/specialties,200,,Escenario 2 — Carga Alta (30 usuarios) 2-16,text,true,,638,170,30,130,http://localhost:8080/api/public/specialties,1021,0,0
1779136576290,1206,S2-R2 POST /api/auth/login,200,,Escenario 2 — Carga Alta (30 usuarios) 2-19,text,true,,832,237,30,130,http://localhost:8080/api/auth/login,1206,0,0
1779136576474,1023,S2-R1 GET /api/public/specialties,200,,Escenario 2 — Carga Alta (30 usuarios) 2-7,text,true,,638,170,30,130,http://localhost:8080/api/public/specialties,1022,0,0
1779136576505,1019,S2-R1 GET /api/public/specialties,200,,Escenario 2 — Carga Alta (30 usuarios) 2-18,text,true,,638,170,30,130,http://localhost:8080/api/public/specialties,1019,0,0
1779136576290,1234,S2-R2 POST /api/auth/login,200,,Escenario 2 — Carga Alta (30 usuarios) 2-28,text,true,,831,237,30,130,http://localhost:8080/api/auth/login,1234,0,0
1779136576507,1019,S3-R1 GET /api/public/specialties,200,,Escenario 3 — Estrés (100 usuarios) 3-30,text,true,,638,170,100,130,http://localhost:8080/api/public/specialties,1019,0,0
1779136576136,1400,S3-R2 POST /api/auth/login,200,,Escenario 3 — Estrés (100 usuarios) 3-7,text,true,,832,237,100,130,http://localhost:8080/api/auth/login,1400,0,0
1779136577271,287,S2-R2 POST /api/auth/login,200,,Escenario 2 — Carga Alta (30 usuarios) 2-14,text,true,,832,237,30,130,http://localhost:8080/api/auth/login,286,0,0
1779136576421,1142,S3-R2 POST /api/auth/login,200,,Escenario 3 — Estrés (100 usuarios) 3-62,text,true,,832,237,100,130,http://localhost:8080/api/auth/login,1142,0,0
1779136576563,1008,S3-R1 GET /api/public/specialties,200,,Escenario 3 — Estrés (100 usuarios) 3-88,text,true,,638,170,100,130,http://localhost:8080/api/public/specialties,1003,0,0
1779136577481,157,S3-R2 POST /api/auth/login,200,,Escenario 3 — Estrés (100 usuarios) 3-55,text,true,,832,237,100,130,http://localhost:8080/api/auth/login,152,0,0
1779136577486,157,S3-R2 POST /api/auth/login,200,,Escenario 3 — Estrés (100 usuarios) 3-13,text,true,,832,237,100,130,http://localhost:8080/api/auth/login,157,0,0
1779136577491,152,S3-R2 POST /api/auth/login,200,,Escenario 3 — Estrés (100 usuarios) 3-37,text,true,,832,237,100,130,http://localhost:8080/api/auth/login,152,0,0
1779136576589,1057,S3-R1 GET /api/public/specialties,200,,Escenario 3 — Estrés (100 usuarios) 3-91,text,true,,638,170,100,130,http://localhost:8080/api/public/specialties,1057,0,0
1779136576595,1053,S3-R1 GET /api/public/specialties,200,,Escenario 3 — Estrés (100 usuarios) 3-86,text,true,,638,170,100,130,http://localhost:8080/api/public/specialties,1053,0,0
1779136576470,1193,S3-R2 POST /api/auth/login,200,,Escenario 3 — Estrés (100 usuarios) 3-99,text,true,,832,237,100,130,http://localhost:8080/api/auth/login,1193,0,0
